Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students
ECE,2,NEW27,Concurrency and Computation,0,0,2,0,0,Dr Pramod Y,Yes,22
ECE,2,NEW28,Computer Intensive Statistical Methods,0,0,2,0,0,Dr. Ramesh Athe,Yes,19
ECE,4,MA208,Probability and Random Processes,3,1,0,0,4,Dr. Rajib Sharma/ Rajesh Kumar,Yes,70
ECE,4,EC205,Control Systems,3,0,2,0,4,Dr. Pankaj Kumar,Yes,70
ECE,4,EC310,Embedded Systems Design,3,1,0,0,4,Dr. Prakash Pawar,Yes,70
ECE,4,EC204,Analog and Digital Communication,3,1,2,0,5,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Yes,70
ECE,4,HS204,Economics,3,1,0,0,4,Dr. Anushree Kini,Yes,70
ECE,4,HS205,Ethics,3,0,0,0,3,Dr. Jolly Thomas IIT Dharwad,Yes,70
ECE,6,CS307,Wireless Communication,3,0,0,4,4,Dr. Rajib Sharma/ Dr. Rao (Lab),Yes,70
ECE,6,CS464,Deep Learning for Computer Vision ,3,1,0,0,4,Dr. Chinmayanand,Yes,30
ECE,6,NEW29,Large Languange Models,3,0,0,4,4,Dr. Sunil S,Yes,25
ECE,6,CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu Ghosh,Yes,27
ECE,6,NEW30,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,21
ECE,6,CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,26
ECE,6,EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha Bhat,Yes,32
ECE,6,NEW31,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,28
ECE,6,CS307,Machine Learning,3,1,0,0,4,Dr. Deepak K T,Yes,33
ECE,6, DS351,Statistics for Health Technology,3,1,0,0,4,Dr. Ramesh Athe,Yes,19
ECE,6,CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,Yes,18
ECE,6,Mini Project 1,Mini Project 1,0,0,0,8,2,Dr. Pankaj Kumar,Yes,70
ECE,8,EC499,Major Project,0,0,0,32,8,Dr. Rajesh Kumar,Yes,70
DSAI,8,DS499,Major Project,0,0,0,32,,Dr. Abdul Wahid,Yes,70
